window_type,bw_value,year,scope,trendline_width,candidate,result,estimate,squared_error
epanechnikov,13,2008,iowa,9,ROMNEY,25.2,29.3433091202,17.1670104656
epanechnikov,13,2008,iowa,9,THOMPSON,13.4,11.4657983508,3.74113601971
epanechnikov,13,2012,iowa,9,Romney,24.5,23.5386256436,0.924240653121
epanechnikov,13,2012,iowa,9,Gingrich,13.3,12.2003757047,1.20917359072
epanechnikov,13,2012,iowa,9,Santorum,24.6,19.8049356966,22.9926416736
epanechnikov,13,2012,iowa,9,Paul,21.4,19.2659044487,4.55436382189
epanechnikov,13,2012,iowa,9,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,9,Huntsman,0.6,2.67017260263,4.28561460467
epanechnikov,13,2012,iowa,9,Perry,10.3,10.5695299911,0.0726464161087
epanechnikov,13,2008,iowa,10,GIULIANI,3.4,5.13609647414,3.01403096752
epanechnikov,13,2008,iowa,10,HUCKABEE,34.4,28.9619209335,29.5727039331
epanechnikov,13,2008,iowa,10,MCCAIN,13,12.044413862,0.913144867212
epanechnikov,13,2008,iowa,10,PAUL,9.9,6.599682775,10.8920937857
epanechnikov,13,2008,iowa,10,ROMNEY,25.2,29.3120476919,16.9089362203
epanechnikov,13,2008,iowa,10,THOMPSON,13.4,11.4428173108,3.83056407891
epanechnikov,13,2012,iowa,10,Romney,24.5,23.5283005754,0.944199771703
epanechnikov,13,2012,iowa,10,Gingrich,13.3,12.1731877269,1.2697058989
epanechnikov,13,2012,iowa,10,Santorum,24.6,19.7246754367,23.7687895973
epanechnikov,13,2012,iowa,10,Paul,21.4,19.3371644493,4.2552905094
epanechnikov,13,2012,iowa,10,Cain,0.0,-3.38461538462,11.4556213018
epanechnikov,13,2012,iowa,10,Huntsman,0.6,2.67611230019,4.31024228302
epanechnikov,13,2012,iowa,10,Perry,10.3,10.5785726059,0.0776026967747
epanechnikov,13,2008,iowa,11,GIULIANI,3.4,5.15617129681,3.08413762375
epanechnikov,13,2008,iowa,11,HUCKABEE,34.4,28.9326608871,29.8917969757
epanechnikov,13,2008,iowa,11,MCCAIN,13,12.0834835178,0.840002462213
epanechnikov,13,2008,iowa,11,PAUL,9.9,6.60345475591,10.8672105464
epanechnikov,13,2008,iowa,11,ROMNEY,25.2,29.2868195135,16.702093736
epanechnikov,13,2008,iowa,11,THOMPSON,13.4,11.4243361276,3.90324773679
epanechnikov,13,2012,iowa,11,Romney,24.5,23.5121275592,0.975891959236
epanechnikov,13,2012,iowa,11,Gingrich,13.3,12.1275034953,1.37474805364
epanechnikov,13,2012,iowa,11,Santorum,24.6,19.6557334483,24.4457717345
epanechnikov,13,2012,iowa,11,Paul,21.4,19.3987237892,4.00510647196
