POLLSTER,Start Date,End Date,days_to_caucus,Number of Observations,Population,Mode,Pollster URL,Source URL,Partisan,Affiliation,Trump,Cruz,Rubio,Carson,Bush,Christie,Rand Paul,Kasich,Huckabee,Fiorina,Santorum,Gilmore,Graham,Jindal,Pataki,Perry,Walker
NBC/Marist,2015-07-14,2015-07-21,192,342,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-22433,,Nonpartisan,None,17,4,4,8,12,2,,2,7,1,0,0,1,1,0,3,19
Monmouth University,2015-07-16,2015-07-19,196,452,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/monmouth-university-22393,,Nonpartisan,None,13,7,5,8,7,1,,2,6,3,3,0,0,4,1,3,22
We Ask America/Monmouth College/KBUR,2015-06-27,2015-06-29,216,997,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/we-ask-america-monmouth-college-kbur-22359,,Nonpartisan,None,7,8,9,5,12,5,,1,10,3,4,,0,2,0,4,18
Quinnipiac,2015-06-20,2015-06-29,213,666,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22332,,Nonpartisan,None,10,9,7,10,8,1,,2,5,3,4,,1,3,0,4,18
Advantage Inc.,2015-06-08,2015-06-10,235,1235,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/advantage-inc-22323,,Pollster,Rep,2,6,9,13,11,3,,2,8,3,2,,2,2,1,7,19
Morning Consult,2015-05-31,2015-06-08,234,265,Registered Voters - Republican,Live Phone/Online,http://elections.huffingtonpost.com/pollster/polls/morning-consult-22250,,Nonpartisan,None,5,4,7,5,10,6,,,10,2,,,,,,,18
Des Moines Register/Bloomberg/Selzer,2015-05-25,2015-05-29,246,402,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/des-moines-register-bloomberg-selzer-22192,,Nonpartisan,None,4,5,6,10,9,4,,2,9,2,6,,1,1,0,3,17
Quinnipiac,2015-04-25,2015-05-04,269,667,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22100,,Nonpartisan,None,,12,13,7,5,3,,2,11,2,2,,0,1,,3,21
PPP (D),2015-04-23,2015-04-26,280,462,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/ppp-d-22076,,Pollster,Dem,,8,13,7,12,5,,,10,,,,,,,4,23
Loras College,2015-04-21,2015-04-23,283,509,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/loras-college-22078,,Nonpartisan,None,3,7,10,6,10,5,,1,9,1,4,,0,1,,3,13
Burning Glass (R)/Partnership for a New American Economy,2015-04-09,2015-04-15,289,400,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/burning-glass-r-partnership-for-a-new-american-economy-23139,,Pollster,Rep,2,9,6,8,7,2,,,11,1,4,,0,1,,2,20
Gravis Marketing/TownHall.com,2015-04-13,2015-04-13,294,388,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-townhall-com-22048,,Nonpartisan,None,,6,12,9,16,5,,,8,3,2,,,,,,13
Opinion Savvy,2015-03-20,2015-03-20,318,552,Likely Voters - Republican,IVR/Online,http://elections.huffingtonpost.com/pollster/polls/opinion-savvy-21908,,Nonpartisan,None,3,7,5,14,12,5,,,11,,,,,,,,29
Quinnipiac,2015-02-16,2015-02-23,340,623,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/quinnipiac-21781,,Nonpartisan,None,,5,4,11,10,4,,0,11,,4,,,2,,3,25
Gravis Marketing/TownHall.com,2015-02-12,2015-02-13,353,343,Likely Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-townhall-com-21745,,Nonpartisan,None,,4,7,5,10,9,,,7,3,6,,,,,,24
NBC/Marist,2015-02-03,2015-02-10,353,321,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/nbc-marist-21735,,Nonpartisan,None,,2,6,6,16,9,,,17,,5,,1,,,4,15
Des Moines Register/Bloomberg/Selzer,2015-01-26,2015-01-29,367,402,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/des-moines-register-bloomberg-selzer-21671,,Nonpartisan,None,1,6,4,10,9,6,,1,13,1,5,,,2,,3,16
Loras College,2015-01-21,2015-01-26,369,316,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/loras-college-21665,,Nonpartisan,None,,5,4,13,13,5,,1,14,1,4,,1,2,,3,10
Gravis Marketing/TownHall.com,2015-01-05,2015-01-07,389,404,Registered Voters - Republican,Automated Phone,http://elections.huffingtonpost.com/pollster/polls/gravis-marketing-townhall-com-21594,,Sponsor,Rep,,7,4,,14,5,,,9,,,,,,,,10
CNN,2014-09-08,2014-09-10,508,310,Registered Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/cnn-20400,,Nonpartisan,None,,4,5,,6,6,,,21,,3,,,4,,5,5
Suffolk/USA Today,2014-08-23,2014-08-26,523,206,Likely Voters - Republican,Live Phone,http://elections.huffingtonpost.com/pollster/polls/suffolk-usa-today-20222,,Nonpartisan,None,,5,5,,7,11,,1,13,,6,,,3,,9,4
